"HF:Financing scheme","HC:Function","HP:Provider","MEASURE:Measure","LOCATION:Country","TIME:Year","Unit Code:Unit","PowerCode Code:PowerCode","Reference Period Code:Reference Period","MSR:Value","Flag Codes:Flags"
"HFTOT:All financing schemes","HCTOT:Current expenditure on health (all functions)","HP1:Hospitals","PPPPER:Per capita, current prices, current PPPs","AUT:Austria","2019","USD:US Dollar","0:Units",,2204.345,
"HFTOT:All financing schemes","HCTOT:Current expenditure on health (all functions)","HP1:Hospitals","PPPPER:Per capita, current prices, current PPPs","BEL:Belgium","2010","USD:US Dollar","0:Units",,1396.32,
"HFTOT:All financing schemes","HCTOT:Current expenditure on health (all functions)","HP1:Hospitals","PPPPER:Per capita, current prices, current PPPs","BEL:Belgium","2011","USD:US Dollar","0:Units",,1475.946,
"HFTOT:All financing schemes","HCTOT:Current expenditure on health (all functions)","HP1:Hospitals","PPPPER:Per capita, current prices, current PPPs","BEL:Belgium","2012","USD:US Dollar","0:Units",,1553.646,
"HFTOT:All financing schemes","HCTOT:Current expenditure on health (all functions)","HP1:Hospitals","PPPPER:Per capita, current prices, current PPPs","BEL:Belgium","2013","USD:US Dollar","0:Units",,1631.67,
"HFTOT:All financing schemes","HCTOT:Current expenditure on health (all functions)","HP1:Hospitals","PPPPER:Per capita, current prices, current PPPs","BEL:Belgium","2014","USD:US Dollar","0:Units",,1670.698,
"HFTOT:All financing schemes","HCTOT:Current expenditure on health (all functions)","HP1:Hospitals","PPPPER:Per capita, current prices, current PPPs","BEL:Belgium","2015","USD:US Dollar","0:Units",,1762.798,
"HFTOT:All financing schemes","HCTOT:Current expenditure on health (all functions)","HP1:Hospitals","PPPPER:Per capita, current prices, current PPPs","BEL:Belgium","2016","USD:US Dollar","0:Units",,1805.376,
"HFTOT:All financing schemes","HCTOT:Current expenditure on health (all functions)","HP1:Hospitals","PPPPER:Per capita, current prices, current PPPs","BEL:Belgium","2017","USD:US Dollar","0:Units",,1869.14,
"HFTOT:All financing schemes","HCTOT:Current expenditure on health (all functions)","HP1:Hospitals","PPPPER:Per capita, current prices, current PPPs","BEL:Belgium","2018","USD:US Dollar","0:Units",,1947.961,
